,Country,Code,Year,Life Expectancy,Consumption of Alcohol
0,Afghanistan,AFG,2010,60.851,0.21
1,Afghanistan,AFG,2015,62.659,0.21
2,Angola,AGO,2010,56.726,8.16
3,Angola,AGO,2015,60.655,7.96
4,Albania,ALB,2010,77.936,7.69
5,Albania,ALB,2015,78.644,6.74
6,United Arab Emirates,ARE,2010,78.334,3.15
7,United Arab Emirates,ARE,2015,79.223,3.79
8,Argentina,ARG,2010,75.721,9.09
9,Argentina,ARG,2015,76.76,9.55
10,Armenia,ARM,2010,73.16,5.69
11,Armenia,ARM,2015,74.436,5.84
12,Antigua and Barbuda,ATG,2010,76.82,5.6
13,Antigua and Barbuda,ATG,2015,77.913,5.89
14,Australia,AUS,2010,81.69512195,12.39
15,Australia,AUS,2015,82.4,10.83
16,Austria,AUT,2010,80.5804878,12.2
17,Austria,AUT,2015,81.1902439,12.07
18,Azerbaijan,AZE,2010,69.529,2.97
19,Azerbaijan,AZE,2015,71.451,4.58
20,Burundi,BDI,2010,57.081,7.66
21,Burundi,BDI,2015,60.217,7.03
22,Belgium,BEL,2010,80.18292683,11.4
23,Belgium,BEL,2015,80.99268293,11.82
24,Benin,BEN,2010,58.363,2.47
25,Benin,BEN,2015,59.377,2.97
26,Burkina Faso,BFA,2010,56.477,8.58
27,Burkina Faso,BFA,2015,58.845,11.83
28,Bangladesh,BGD,2010,68.638,0.16
29,Bangladesh,BGD,2015,70.491,0.021
30,Bulgaria,BGR,2010,73.51219512,11.32
31,Bulgaria,BGR,2015,74.61463415,12.34
32,Bahrain,BHR,2010,78.748,1.69
33,Bahrain,BHR,2015,79.405,1.3
34,Bosnia and Herzegovina,BIH,2010,77.073,7.32
35,Bosnia and Herzegovina,BIH,2015,76.182,6.92
36,Belarus,BLR,2010,70.40487805,17.43
37,Belarus,BLR,2015,73.62439024,12.0
38,Belize,BLZ,2010,72.272,7.08
39,Belize,BLZ,2015,73.187,6.74
40,Bolivia,BOL,2010,66.162,5.56
41,Bolivia,BOL,2015,67.318,4.64
42,Brazil,BRA,2010,73.182,8.49
43,Brazil,BRA,2015,74.332,7.86
44,Barbados,BRB,2010,75.712,7.95
45,Barbados,BRB,2015,76.65,9.33
46,Bhutan,BTN,2010,68.43,0.92
47,Bhutan,BTN,2015,70.343,0.42
48,Botswana,BWA,2010,60.013,8.62
49,Botswana,BWA,2015,63.818,6.86
50,Central African Republic,CAF,2010,49.255,3.98
