,Country Name,Country Code,2010,2011,2012,2013,2014,2015
0,Aruba,ABW,75.404,75.465,75.531,75.636,75.601,75.683
1,Africa Eastern and Southern,AFE,58.41114975,59.29327139,60.05078025,60.70986956,61.33791748,61.85645814
2,Afghanistan,AFG,60.851,61.419,61.923,62.417,62.545,62.659
3,Africa Western and Central,AFW,54.55016917,55.01313789,55.34056099,55.67340551,55.92222899,56.19587235
4,Angola,AGO,56.726,57.596,58.623,59.307,60.04,60.655
5,Albania,ALB,77.936,78.092,78.064,78.123,78.407,78.644
6,Andorra,AND,,,,,,
7,Arab World,ARB,70.04125357,70.26151981,70.1804606,70.19651371,70.49262887,70.75822223
8,United Arab Emirates,ARE,78.334,78.517,78.716,78.853,79.044,79.223
9,Argentina,ARG,75.721,76.124,76.467,76.491,76.755,76.76
10,Armenia,ARM,73.16,73.305,73.454,73.676,74.058,74.436
11,American Samoa,ASM,,,,,,
12,Antigua and Barbuda,ATG,76.82,77.104,77.35,77.583,77.858,77.913
13,Australia,AUS,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4
14,Austria,AUT,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439
15,Azerbaijan,AZE,69.529,69.984,70.36,70.881,71.116,71.451
16,Burundi,BDI,57.081,57.769,58.493,59.235,59.868,60.217
17,Belgium,BEL,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293
18,Benin,BEN,58.363,58.462,58.716,58.965,59.125,59.377
19,Burkina Faso,BFA,56.477,57.125,57.619,57.823,58.359,58.845
20,Bangladesh,BGD,68.638,68.809,69.554,69.565,69.986,70.491
21,Bulgaria,BGR,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415
22,Bahrain,BHR,78.748,78.89,79.081,79.246,79.328,79.405
23,"Bahamas, The",BHS,72.731,72.564,72.753,73.024,73.366,73.104
24,Bosnia and Herzegovina,BIH,77.073,77.007,77.191,76.33,75.659,76.182
25,Belarus,BLR,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024
26,Belize,BLZ,72.272,72.651,73.245,73.666,73.311,73.187
27,Bermuda,BMU,80.499,81.403,81.272,79.992,79.518,80.918
28,Bolivia,BOL,66.162,66.534,66.705,67.021,67.163,67.318
29,Brazil,BRA,73.182,73.343,73.552,73.918,74.306,74.332
30,Barbados,BRB,75.712,75.917,76.099,76.275,76.476,76.65
31,Brunei Darussalam,BRN,74.849,74.858,74.827,74.799,74.779,74.75
32,Bhutan,BTN,68.43,68.881,69.326,69.707,70.049,70.343
33,Botswana,BWA,60.013,60.53,60.8,61.996,62.608,63.818
34,Central African Republic,CAF,49.255,49.948,50.686,50.902,50.566,52.793
35,Canada,CAN,81.32219512,81.48268293,81.66365854,81.74487805,81.78439024,81.81560976
36,Central Europe and the Baltics,CEB,75.29396578,75.88847488,75.9934886,76.35516299,76.67562361,76.57187776
37,Switzerland,CHE,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098
38,Channel Islands,CHI,81.12,81.726,81.339,81.516,81.884,81.433
39,Chile,CHL,78.501,79.11,79.023,79.339,79.473,79.746
40,China,CHN,75.599,75.903,76.192,76.452,76.717,76.977
41,Cote d'Ivoire,CIV,55.023,55.52,56.158,56.748,57.208,57.762
42,Cameroon,CMR,56.582,57.133,57.792,58.476,58.935,59.658
43,"Congo, Dem. Rep.",COD,56.417,57.069,57.248,57.762,58.296,58.49
44,"Congo, Rep.",COG,61.683,61.992,62.317,62.695,62.95,63.233
45,Colombia,COL,75.033,75.32,75.597,75.827,76.043,76.257
46,Comoros,COM,61.123,61.503,61.834,62.224,62.516,62.896
47,Cabo Verde,CPV,73.499,74.257,74.484,75.059,75.24,74.62
48,Costa Rica,CRI,78.67,79.348,79.283,79.403,78.774,79.086
49,Caribbean small states,CSS,72.01868933,72.35846114,72.64070319,72.72090848,72.68087691,72.61026362
50,Cuba,CUB,77.661,77.76,77.833,77.87,77.853,77.772
51,Curacao,CUW,,77.47317073,77.52439024,77.82682927,77.97560976,78.07560976
52,Cayman Islands,CYM,82.1902439,,,,,
53,Cyprus,CYP,79.665,79.999,80.109,80.402,80.771,80.966
54,Czechia,CZE,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878
55,Germany,DEU,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341
56,Djibouti,DJI,60.259,60.433,60.848,61.221,61.641,61.957
57,Dominica,DMA,71.55,69.695,70.538,68.896,69.434,68.727
58,Denmark,DNK,79.1,79.8,80.05121951,80.3,80.7,80.70243902
59,Dominican Republic,DOM,72.093,72.221,72.514,72.713,72.867,72.953
60,Algeria,DZA,73.808,74.123,74.202,74.615,75.11,75.622
61,East Asia & Pacific (excluding high income),EAP,73.8761729,74.14703458,74.3957727,74.64474646,74.90326857,75.12303517
62,Early-demographic dividend,EAR,67.86610314,68.29165913,68.67278779,69.06632686,69.48710058,69.87426237
63,East Asia & Pacific,EAS,74.73436579,74.97135414,75.22981361,75.47911626,75.73130511,75.94881673
64,Europe & Central Asia (excluding high income),ECA,70.76702478,71.21871533,71.65217147,72.10464277,72.30863923,72.58773076
65,Europe & Central Asia,ECS,75.98633734,76.45856153,76.64319985,76.98604935,77.29645079,77.23132323
66,Ecuador,ECU,75.43,75.743,76.062,76.369,76.622,76.789
